,date,review,rating,isEdited,title,userName
0,2023-08-10 03:11:44,"First of all, they charge you a lot of money for some fast shipping and even if you don’t get a fast shipping they still charge you a lot yeah I will give them the same day delivering but other than that shipping is overpriced and unless u get that expensive shipping then they are gonna be so careless about when you get your package my package was ordered last month on the 30th and it’s the 9th now and it’s still not here when it was supposed to come at 10pm today BY 10pm let me add. And then it says it’s delayed it hasn’t even been shipped yet but if I bought that over priced fast shipping they wouldn’t have been treating like this I know that’s kinda the whole point but I feel like they prioritize the expensive shipping more than they do regular it’s not fair to people that don’t have money and that can’t afford the same day delivery doesn’t mean you have to NOT make a free shipping package a priority. And don’t get me wrong I’ve bought the fast shipping before but it’s just super overpriced I have patience I’m not a brat but it’s just I’m annoyed at this point I’m not gonna over pay because I want it by tomorrow but they need to do a better job.",2,False,"Shipping to long, fast shipping overpriced",rose179347
1,2023-07-29 20:03:56,"By law products have to be marked where they are manufactured, but this information is not readily available in this app. I am a big proponent of buying American made products. The information on the products sold does not always contain country of origin information, and sometimes have to dig through the pictures to find out to the point I waist hours looking. And on at least one occasion I thought a product I was ordering was made in the US and found out when it arrived it was made in China so I returned it.

If we could filter by country of origin, this would be helpful. Especially for high end goods like kitchen equipment, furniture, tools, decorative items and wood products where country of origin is largely indicative of the quality of the product. 

Besides this issue, the app is great. Very good search algorithm, and I like how when you search and can shop certain brands.",3,False,It’s too difficult to determine country of origin of products,mattsayegh
2,2023-08-20 06:01:26,"Once logged in, the app remains logged on until physically logged out. It never times out. Nor does it log out if/when app is closed. If the closed app is reopened, it is still logged on!  This persistently logged on app is ripe for misuse by anyone with access to my phone. Also, the password (or maybe a PIN) should be required (or at least offered as an option) for purchases to prevent unauthorized purchases by children. Lastly, buyers should be given a single receipt for all items purchases. It is difficult to even determine if I received all items purchased at the same time.  When a single order of multiple items are listed singularity by the item but not by the entire purchase, individual items are nearly impossible to track. If I buy 10 different items in a single purchase, I cannot review the entire purchase, but have to remember each item to see if all items are shipped/received.",2,False,App is a disappointment,EgnarMD
3,2023-08-13 00:10:10,"The app makes a lot of things easy enough to navigate right on a phone, but a feature it used to have (long ago) that I greatly miss was the option to move things directly from “Saved for Later” in cart… smoothly scooting/sending them to whatever wishlist we wanted to use.

I have things categorized in lists - often by person or home/life function or business necessity, etc. and would really like the option to move things smoothly from the cart (where we generally add things for ease of use when saving options to compare) right into the wishlist we prefer once the individual items have been selected for the future purpose.

It would just help a lot. Please add that option/feature ASAP. I’d love to move things from cart to the lists I choose without having to visit the individual item listing/sale pages. Thanks!",2,False,Request: Option to Move Items from Cart to Wishlist,forte1234
4,2023-08-08 09:32:37,"You keep updating the app but the kindle part don’t ever work or show we can order kindle books on this app. I always have to go to the website. While I like the app I shouldn’t have to keep going back and forth between app and the website when it comes to ebooks. Your app doesn’t support it so I can’t never 1) order it 2) see a title, 3) see if series and how many books in series 4)see the cost of the ebook 5) tell me whether or not I ordered it 6) how many prime points it’s worth. Fix this app so I don’t have to keep going back and forth between app and website just for the ebooks.

Update: the shopping experiences leaves something to be desired on this app. You keep having updates yet you don’t update anything that ppl ask for. It’s daunting to go back and forth between the app and the website. U want ppl to use the app then u need to get with the program.",1,False,App updates,Briobert
5,2023-08-19 17:37:17,First you took away the way “liked” items were marked listed and we could see what we already added to our default list without having to click on the item again for the 5th time just to see the heart is already clicked. It was way easier to compare items while shopping. Please please put a little heart beside the default product thumbnail so I know it’s on my list!!! So I don’t have to clock into the product. …Now today the number of stars was compressed to one star with the number of stars listed beside the star. Now everything looks like it got a one star review and you have read the number of stars. It was so much easier to browse quickly and avoid low rated products. Ugh. Who makes these decisions!?!,2,False,"Ugh, stop taking features we like.",agwalck
6,2023-08-11 21:17:57,"The recent update has made things HARDER! On my account homepage (the person icon), they removed the Your Lists button (and it’s impossible to actually FIND my lists now) and replaced it with a longer Your Account button (which also doesn’t provide easy access to my lists without tapping other buttons). Whenever I can manage to find them, the redesign is ridiculous. The “grouped” option just dumb. I already have my lists grouped how I want them, I don’t need products grouped or showing me all my items. They need to put groups back in list format so we can look at them. And within the lists they need to add back the option to move items up and down on the list. Why I the world would they remove that??",2,False,Update removes features & ease!!!,Sarahross1011
7,2023-08-05 02:48:57,"So far so good… EXCEPT as of recently I’ve been having an issue. Say for example a shirt with different color options when I click the shirt and view the other color options it will get rid of the save option (the heart) and I won’t be able to save said colors to my wishlists for whatever reason like I’ve been able to before. This goes for any and all items as of this update (if there was one) I'm tempting to just reinstall but hopefully this can get fixed. 

•save option disappears upon viewing different options on a specific item (color/sizes)",5,False,Bug?,YumyYumi
8,2023-08-18 15:21:03,"Please get rid of the feature where the models are modeling the merchandise as you’re trying to scroll through & shop. It’s extremely frustrating. Maybe it’s an option where I can turn it off, I’m not sure. But you can clearly see the merchandise much better in a series of photos just as it was before the video feature. Can’t see as well on a person who is walking around while wearing a purse & spinning & doing whatever else they’re doing. Also the video just cuts right in as you’re already trying to check out the merch. in the photo. Not cool.",4,False,New models videos,jebxbdjs
9,2023-08-09 04:32:06,"Search bar was added to the bottom of the page on mobile. Maybe some A/B test? Really bad navigation decision. I want to swipe right to go back, not adjust my hand position + click a button to perform that same action. Also having a search bar at the bottom of the screen is very counterintuitive. When has a search bar ever been positioned at the bottom of your screen? It’s very bad.

Secondly, why is the shop UI/Discoverability algo SO horrendous? If you made it easier to discover different storefronts on your app that align with who I follow/my purchase history, I would probably spend up to 30mins more per week on the app. Would suggesting taking a page from literally any other app (LTK, Pinterest, etc)",1,False,"UI, search/discover is archaic",ericaeh12
10,2023-07-25 02:21:24,I do not have prime but I have ordered about four packages and every time I choose the extra fee for next day shipping or sooner shipping and every time it shows up far later than than the free option or cheapest on. All of the packages I have bought have been small packages and have arrived 5 days later than they should of while still charging the fee for faster shipping. I understand their are delays but it happens so often and I still have to pay for such delays every single time. 5 hours ago i ordered some packages and bought next day shipping for 10$ onto the 50$ I already paid just for it to show 2 hours later it will arrive 5 days later.,2,False,The shipping is a scam,Zackxary
11,2023-08-19 17:16:21,"I can’t find those questions anymore which were often very helpful although sometimes redundant.  And why do you only show a few reviews now?  Also, it was much easier to write a review of a purchase prior to this app.  It sort of feels like you don’t really want reviews now since they used to be attached to your order info.  What happened?  I also liked the way I could access information much easier before, such as digital orders etc.  This is much harder even though it looks slick it doesn’t function as well in my opinion.",3,False,Where did the questions about a product go?,Palo73$45
